Posted Date,Main Skill 1,Main Skill 2,Main Skill 3,Company,Workplace,Address,Company Type,Company Industry,Company Size,Country,Working Days,Overtime Policy
2024-08-29 11:21:20.095789,AWS,NodeJS,Golang,ABBANK,At office,Ha Noi,IT Product,IT Services and IT Consulting,1-50,United States,Monday - Friday,No OT
2024-08-29 11:21:20.095789,AWS,NodeJS,Golang,LG Electronics Development Vietnam (LGEDV),Hybrid,Ha Noi,IT Product,IT Services and IT Consulting,1-50,United States,Monday - Friday,No OT
2024-08-29 11:21:20.095789,Embedded,C++,NULL,Samsung Electronics HCMC CE Complex,At office,Ho Chi Minh,IT Product,IT Hardware and Computing,1000+,South Korea,Monday - Friday,Extra salary for OT
2024-08-29 11:21:20.095789,AWS,DevOps,DevSecOps,SMG Swiss Marketplace Group,Remote,Ho Chi Minh,IT Product,Software Products and Web Services,51-150,Switzerland,Monday - Friday,No OT
2024-08-29 11:21:20.095789,PHP,SQL,Laravel,THK Holdings Vietnam,At office,Ho Chi Minh,IT Outsourcing,Software Products and Web Services,1-50,Japan,Monday - Friday,No OT
2024-08-29 11:21:20.095789,Database,Oracle,PostgreSql,NAB Innovation Centre Vietnam,Hybrid,Ho Chi Minh,IT Product,Banking,1000+,Australia,Monday - Friday,No OT
2024-08-29 11:21:20.095789,Japanese,Project Manager,Bridge Engineer,IVC (ISB Vietnam),At office,Ho Chi Minh,IT Outsourcing,Software Development Outsourcing,151-300,Japan,Monday - Friday,
2024-08-29 11:21:20.095789,Bridge Engineer,Project Manager,PHP,THK Holdings Vietnam,At office,Ho Chi Minh,IT Outsourcing,Software Products and Web Services,1-50,Japan,Monday - Friday,No OT
2024-08-29 11:21:20.095789,Japanese,Project Manager,Bridge Engineer,THK Holdings Vietnam,At office,Ho Chi Minh,IT Outsourcing,Software Products and Web Services,1-50,Japan,Monday - Friday,No OT
2024-08-29 10:21:20.095789,React Native,JavaScript,ReactJS,Pizza Hut Digital & Technology,Hybrid,Ho Chi Minh,IT Product,Software Products and Web Services,51-150,United Kingdom,Monday - Friday,No OT
2024-08-29 10:21:20.095789,Python,JavaScript,English,Gigarion Technology,At office,Ho Chi Minh,IT Outsourcing,Software Development Outsourcing,1-50,United States,Monday - Friday,No OT
2024-08-29 10:21:20.095789,System Engineer,AWS,Cloud,Tyme,Hybrid,Ho Chi Minh,IT Product,Banking,301-500,Singapore,Monday - Friday,No OT
2024-08-29 10:21:20.095789,NoSQL,Database,NULL,Viettel Group,At office,Ha Noi,IT Product,Telecommunication,1000+,Vietnam,Monday - Friday,
2024-08-29 09:21:20.095789,Embedded,C++,C language,VinFast,At office,Ha Noi - Ho Chi Minh,IT Product,"Transportation, Logistics and Warehouse",301-500,Vietnam,Monday - Friday,No OT
2024-08-29 09:21:20.095789,PHP,English,ReactJS,New Ocean IS,At office,Ho Chi Minh,IT Outsourcing,Software Development Outsourcing,51-150,Vietnam,Monday - Friday,Extra salary for OT
2024-08-29 09:21:20.095789,Tester,QA QC,NULL,Elisoft,Hybrid,Ho Chi Minh - Others,IT Service and IT Consulting,IT Services and IT Consulting,501-1000,Poland,Monday - Friday,No OT
2024-08-29 09:21:20.095789,Tester,QA QC,NULL,Simpson Strong-Tie Vietnam,Hybrid,Ho Chi Minh,IT Service and IT Consulting,IT Services and IT Consulting,501-1000,Poland,Monday - Friday,No OT
2024-08-29 09:21:20.095789,Tester,QA QC,NULL,Integro Technologies,At office,Ha Noi,IT Service and IT Consulting,IT Services and IT Consulting,501-1000,Poland,Monday - Friday,No OT
2024-08-29 09:21:20.095789,Tester,QA QC,NULL,NEC Vietnam,Hybrid,Ha Noi,IT Service and IT Consulting,IT Services and IT Consulting,501-1000,Poland,Monday - Friday,No OT
2024-08-29 09:21:20.095789,Tester,QA QC,NULL,Công ty TNHH Thankslab Việt Nam,At office,Ho Chi Minh,IT Service and IT Consulting,IT Services and IT Consulting,501-1000,Poland,Monday - Friday,No OT
2024-08-29 09:21:20.095789,Tester,QA QC,NULL,Ringkas,At office,Ho Chi Minh,IT Service and IT Consulting,IT Services and IT Consulting,501-1000,Poland,Monday - Friday,No OT
2024-08-29 09:21:20.095789,Tester,QA QC,NULL,VPBank,At office,Ha Noi,IT Service and IT Consulting,IT Services and IT Consulting,501-1000,Poland,Monday - Friday,No OT
2024-08-29 09:21:20.095789,Tester,QA QC,NULL,VPBank,At office,Ha Noi,IT Service and IT Consulting,IT Services and IT Consulting,501-1000,Poland,Monday - Friday,No OT
2024-08-29 09:21:20.095789,Tester,QA QC,NULL,SEN VÀNG VIỆT NAM,At office,Ho Chi Minh,IT Service and IT Consulting,IT Services and IT Consulting,501-1000,Poland,Monday - Friday,No OT
2024-08-29 09:21:20.095789,Tester,QA QC,NULL,SEN VÀNG VIỆT NAM,At office,Ho Chi Minh,IT Service and IT Consulting,IT Services and IT Consulting,501-1000,Poland,Monday - Friday,No OT
