Title,Skill 1,Skill 2,Skill 3,Skill 4,Company,Address 1,Address 2,Post date,Salary
Lập Trình Viên Angular Dự Án Banking,Angular,,,,2NF Software,Hà Nội: Cầu Giấy,,Đăng 1 tuần trước,15 - 25 triệu
Data Engineer Dự Án Banking,Data,,,,Công ty Cổ Phần Ecomobi Media,Hà Nội: Đống Đa,,Đăng 1 tuần trước,Thoả thuận
Test Data Dự Án Ngân Hàng,Data,,,,FPT Software,Hà Nội: Cầu Giấy, Thạch Thất,Đăng 1 tuần trước,Thoả thuận
Automation Tester (Dự Án Ngân Hàng),Automation Test,Tester,,,Công ty TNHH ICAR Việt Nam,Hà Nội: Nam Từ Liêm,,Đăng 1 tuần trước,20 - 25 triệu
Manual Tester (Dự Án Banking),Tester,,,,Công ty TNHH ICAR Việt Nam,Hà Nội: Nam Từ Liêm,,Đăng 1 tuần trước,20 - 25 triệu
Business Development Manager,Manager,,,,Công ty TNHH ICAR Việt Nam,Hà Nội: Nam Từ Liêm,,Đăng 1 tuần trước,20 - 30 triệu
"Hồ Chí Minh, Bình Dương",,,,,Công ty Cổ phần Tư vấn DataHouse Asia,Hồ Chí Minh: Tân Bình,,Đăng 1 tuần trước,Thoả thuận
Cần Thơ & 3 nơi khác,,,,,Công Ty Cổ Phần VCCorp,Hà Nội: Thanh Xuân,,Đăng 1 tuần trước,14 - 16 triệu
Hồ Chí Minh,,,,,Splus Software,Hồ Chí Minh,,Đăng 1 tuần trước,Thoả thuận
Nhân Viên Triển Khai,AI,,,,Splus Software,Hồ Chí Minh,,Đăng 1 tuần trước,Thoả thuận
Flutter Developer (Từ 4 Năm Kinh Nghiệm),Flutter,,,,Công ty Dịch vụ MobiFone Khu vực 6 – CN Tổng Công ty Viễn thông MobiFone,Nghệ An: TP Vinh,,Đăng 1 tuần trước,10 - 20 triệu
Nhân Viên Kinh Doanh Website,Web,,,,Công ty TNHH Tổng công ty Công nghệ & Giải pháp CMC,Hà Nội: Cầu Giấy,,Đăng 1 tuần trước,"800 - 1,500 USD"
Backend Golang Leader,Golang,Leader,,,CÔNG TY CỔ PHẦN GMO-Z.com RUNSYSTEM,Hồ Chí Minh: Tân Bình,,Đăng 1 tuần trước,15 - 20 triệu
Chuyên Viên Truyền Thông Nội Bộ,,,,,Công ty TNHH Tổng công ty Công nghệ & Giải pháp CMC,Hà Nội: Cầu Giấy,,Đăng 1 tuần trước,"800 - 1,500 USD"
